If you have any questions or corrections please email Franklin (ffein@stanford.edu),,Please let us know which metrics you found most useful and suggestions for more! https://forms.gle/U7cqAyRm2huJCn3a7,,,,,Last updated: 6/1/2021,,,,,,,,,,,
Assession Number,Dataset URL,Dataset name,Dataset made public (MM/DD/YYYY),Most recent snapshot date (MM/DD/YYYY),# of subjects,Modalities available?,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species?,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
ds001553,https://openneuro.org/datasets/ds001553/versions/1.0.0,100 runs at 3T,10/15/2018,10/15/2018,3,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","checkerboard, rest, Checkerboard at 8 Hz + letter/number discrimination task",5,dense single subject sampling,,Yes,No,Human,10.1073/pnas.1121049109,,"Bandettini, Peter"
ds001554,https://openneuro.org/datasets/ds001554/versions/1.0.0,Neural pattern change during encoding of a narrative predicts retrospective duration estimates,10/15/2018,10/15/2018,23,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",listening,,listened to an auditory story while in scanner,encoding,No,No,Human,10.7554/eLife.16070,,"Norman, Ken"
ds001555,https://openneuro.org/datasets/ds001555/versions/1.0.0,Large Single-Subject Functional MRI Datasets at 7T,10/16/2018,10/16/2018,3,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Full Field-of-View Visual Stimulation + Attention Control Task, Full Field-of-View Visual Stimulation Only, Hemifield Visual Stimulation",5,Dense sampling of subjects at High-Field MR (7T),,Yes,No,Human,10.1093/cercor/bhu148,,"Bandettini, Peter"
ds001563,https://openneuro.org/datasets/ds001563/versions/1.0.1,CMRR Workshop,9/29/2019,9/29/2019,1,"MRI - anat, MRI - func",,,,,CMRR workshop,CMRR workshop,No,No,Human,,,"Huber, Laurentius"
ds001566,https://openneuro.org/datasets/ds001566/versions/1.0.1,test,10/23/2018,10/23/2018,1,"MRI - anat, MRI - func",,18-25,rest,,TEST set,TEST set,No,No,Human,,,
ds001576,https://openneuro.org/datasets/ds001576/versions/1.0.0,Refresh my memory: Episodic memory reinstatements intrude on working memory maintenance,10/29/2018,10/29/2018,36,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","learning task, delayed-nonmatch-to-sample task","DNMS:12, Learn: 48",,"memory, memory interference",No,No,Human,10.3758/s13415-018-00674-z,,"Cohen, Jon"
ds001590,https://openneuro.org/datasets/ds001590/versions/1.0.1,Feature Discrimination,11/8/2018,3/6/2019,32,"MRI - anat, MRI - func, MRI - dwi, FieldMap",Healthy/Control,"18-25, 26-34","Serial feature discrimination, Simultaneous feature discrimination, visual localizer",60-80,,Feature discrimination,No,No,Human,10.1038/s41467-019-08998-1,,"McClure, Samuel"
ds001591,https://openneuro.org/datasets/ds001591/versions/1.3.0,Mouse_rest_KCLtraining,11/12/2018,11/13/2018,2,"MRI - anat, MRI - func",Healthy/Control,2-6 (months),rest,,Training dataset,Training dataset,No,No,Mouse,10.1016/j.neuroimage.2014.08.043,,"Grandjean, Joanes"
ds001595,https://openneuro.org/datasets/ds001595/versions/1.0.0,Test dataset for XCP software,11/16/2018,11/16/2018,1,"MRI - anat, MRI - func, MRI - dwi, FieldMap",,,rest,,Test Dataset,Test Dataset,No,No,Human,10.1016/j.neuroimage.2017.03.020,,"Satterthwaite, Ted"
ds001597,https://openneuro.org/datasets/ds001597/versions/1.0.0,multiFingerRSA,11/19/2018,11/19/2018,20,"MRI - anat, MRI - func, FieldMap",Healthy/Control,,cued MFM,40,Two separate scanning sessions: before and after training on experimental task,,Yes,No,Human,,,"Verstynen, Timothy"
ds001600,https://openneuro.org/datasets/ds001600/versions/1.0.0,Example Fieldmaps,11/24/2018,11/24/2018,1,"MRI - anat, MRI - func, Field Map",,,,,FieldMap examples,FieldMap examples,No,No,Human,,,"Satterthwaite, Ted"
ds001607,https://openneuro.org/datasets/ds001607/versions/1.0.1,Reinstated episodic context guides sampling-based decisions for reward,12/3/2018,12/5/2018,32,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","Learning task, Functional localizer, test task",180,,decision-making,No,No,Human,10.1038/nn.4573,,"Norman, Ken"
ds001608,https://openneuro.org/datasets/ds001608/versions/1.0.0,Prestimulus Exp2,7/20/2019,7/20/2019,21,"MRI - anat, MRI - func",,"18-25, 26-34",viewclips,,,,No,No,Human,10.1093/cercor/bhz212,,"Cohen, Noga"
ds001612,https://openneuro.org/datasets/ds001612/versions/1.0.2,Offline replay supports planning in human reinforcement learning,12/6/2018,1/2/2019,24,"MRI - anat, MRI - func",Healthy/Control,,"functional localizers, Markov Decision process task",,,reinforcement learning,No,No,Human,10.7554/eLife.32548,,"Norman, Ken"
ds001614,https://openneuro.org/datasets/ds001614/versions/1.0.0,Perceptual decisions result from the continuous accumulation of memory and sensory evidence,12/11/2018,12/11/2018,31,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","Sequence Learning, Functional localizer, response training, cued inference task",,,decision-making,No,No,Human,10.1101/186817,,"Cohen, Jon"
ds001618,https://openneuro.org/datasets/ds001618/versions/1.0.1,"Shared and differential default-mode related patterns of activity in an autobiographical, a self-referential and an attentional task",12/12/2018,12/12/2018,36,MRI - func,Healthy/Control,"18-25, 26-34, 35-50, 51-65","autobiographical memory, N-back, Self/Other reflection",,,DMN ,No,No,Human, 10.1371/journal.pone.0209376,,"Pomarol-Clotet, Edith"
ds001621,https://openneuro.org/datasets/ds001621/versions/1.1.0,Neural representations of events arise from temporal community structure,12/14/2018,2/21/2019,20,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",,160,,event perception,No,No,Human,10.1038/nn.3331,,"Botvinick, Matthew"
ds001634,https://openneuro.org/datasets/ds001634/versions/1.0.1,Visual working memory: Study one Task fMRI and Behavioural response,12/31/2018,1/3/2019,19,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",Working Memory,90,,visual working memory,No,No,Human,10.1038/s41467-019-08840-8,,"Hampshire, Adam"
ds001635,https://openneuro.org/datasets/ds001635/versions/1.0.1,Visual working memory: Study two Task fMRI and Behavioural response,12/31/2018,1/3/2019,16,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",Memory and Manipulate ,80,,visual working memory,No,No,Human,10.1038/s41467-019-08840-8,,"Hampshire, Adam"
ds001652,https://openneuro.org/datasets/ds001652/versions/2.0.0,Ironia VEV,1/16/2019,1/20/2019,8,"MRI - anat, MRI - func",,"18-25, 26-34",Ironia VEV,19-20,,,No,No,Human,,,"Valless, Elizabeth"
ds001653,https://openneuro.org/datasets/ds001653/versions/1.0.1,Mouse_rest_awake,7/22/2019,7/22/2019,29,"MRI - anat, MRI - func",Healthy/Control,2-6 (months),rest,,,,Yes,No,Mouse,,,"Grandjean, Joanes"
ds001705,https://openneuro.org/datasets/ds001705/versions/1.0.0,NRM2018 PET Grand Challenge dataset,2/13/2019,2/13/2019,5,"MRI - anat, PET",,,,,NRM2018 PET Grand Challenge dataset,NRM2018 PET Grand Challenge dataset,Yes,No,Human,,,"Gunn, Roger"
ds001715,https://openneuro.org/datasets/ds001715/versions/1.0.0,Dissociable neural mechanisms track evidence accumulation for selection of attention versus action,2/5/2019,2/5/2019,34,"MRI - anat, MRI - func",Healthy/Control,18-25,decision-making task,48,,"decision-making, attention",No,No,Human,10.1038/s41467-018-04841-1,,"Cohen, Jon"
ds001720,https://openneuro.org/datasets/ds001720/versions/1.0.1,Mouse_rest_multicentre,1/31/2019,5/5/2019,255,MRI - func,Healthy/Control,2-6 (months),rest,,multi-center comparison,,No,No,Mouse,10.1101/541060,,"Grandjean, Joanes"
ds001722,https://openneuro.org/datasets/ds001722/versions/1.1.0,A role for the medial temporal lobe subsystem in guiding prosociality: the effect of episodic processes on willingness to help others (Experiment 2),2/1/2019,2/1/2019,19,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",theory of mind,10,,"social psychology, memory ",No,No,Human,"10.1016/S1053-8119(03)00230-1, 10.1093/scan/nsz014",,"Young, Liane"
ds001725,https://openneuro.org/datasets/ds001725/versions/1.1.0,Mouse_rest_psilocybin,9/2/2019,9/2/2019,40,"MRI - anat, MRI - func",Healthy/Control,,rest,,psilocybin administration,Psilocybin as potential antidepressant,No,No,Mouse,10.1101/751255,,"Grandjean, Joanes"
ds001728,https://openneuro.org/datasets/ds001728/versions/1.1.0,Test-GEIER,2/4/2019,2/4/2019,1,"MRI - anat, MRI - func",,,rest,,Practice Dataset,,No,No,Human,,,
ds001734,https://openneuro.org/datasets/ds001734/versions/1.0.4,NARPS,2/7/2019,5/16/2019,108,"MRI - anat, MRI - func, FieldMap",,"18-25, 26-34",mixed gamblers task,64,,decision-making under risk,No,Yes,Human,"10.1038/s41597-019-0113-7, https://www.narps.info/",,"Schonberg, Tom"
ds001740,https://openneuro.org/datasets/ds001740/versions/2.2.0,Brain activity during reciprocal social interaction investigated using conversational robots as control condition,2/6/2019,3/8/2019,25,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34, 35-50",converse,,conversing with a robot,social interactions,No,Yes,Human,10.1098/rstb.2018.0033,,"Chaminade, Thierry"
ds001743,https://openneuro.org/datasets/ds001743/versions/1.0.1,Unilateral Glaucoma 3T dMRI,2/6/2019,2/8/2019,12,"MRI - anat, MRI - dwi","Healthy/Control, Glaucoma","18-25, 26-34, 35-50, 51-65",,,,Vision,No,No,Human,https://doi.org/10.1101/370643,,"Rokers, Bas"
ds001745,https://openneuro.org/datasets/ds001745/versions/1.0.0,A neural signature of contextually mediated intentional forgetting,2/7/2019,2/7/2019,24,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",study-test,,,"Directed forgetting, episodic memory",No,No,Human,10.3758/s13423-016-1024-7,,"Norman, Ken"
ds001747,https://openneuro.org/datasets/ds001747/versions/1.0.0,Exploring the Resting State Neural Activity of Monolinguals and Late and Early Bilinguals,8/6/2020,2/8/2019,92,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",rest,,Resting State fMRI,,No,No,Human,,,"Kirwan, Brock"
ds001748,https://openneuro.org/datasets/ds001748/versions/1.0.4,Differentiation of functional networks during long-term memory retrieval in children and adolescents,2/8/2019,3/18/2019,62,"MRI - anat, MRI - func",Healthy/Control,"0-10, 11-17, 18-25, 26-34","autobiographical, episodic, semantic",23-29,,"Declarative memory, long-term memory",No,No,Human,https://doi.org/10.1016/j.neuroimage.2019.01.065,,"Burianova, Hana"
ds001751,https://openneuro.org/datasets/ds001751/versions/1.0.0,Context-dependent cognitive control | Flanker task,2/12/2019,2/12/2019,20,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34",Flanker,,,Context-dependent modulation,No,No,Human,10.1016/j.neuroimage.2019.02.004,,"Verguts, Tom"
ds001761,https://openneuro.org/datasets/ds001761/versions/2.0.0,Reconstructing Faces from fMRI Patterns using Deep Generative Neural Networks.,2/15/2019,3/20/2019,4,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50",Faces,11-14,,Vision,No,Yes,Human,arXiv:1810.03856,,"Reddy, Leila"
ds001762,https://openneuro.org/datasets/ds001762/versions/1.0.0,Dorsal anterior cingulate and ventromedial prefrontal cortex have inverse roles in both foraging and economic choice,2/15/2019,5/15/2019,31,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",Foraging,,,"decision-making, cognitive control",No,No,Human, 10.3758/s13415-016-0458-8,,"Cohen, Jon"
ds001768,https://openneuro.org/datasets/ds001768/versions/1.0.0,Retinotopy,2/21/2019,2/21/2019,1,,,,,,,,,,,,,
ds001769,https://openneuro.org/datasets/ds001769/versions/1.1.0,studyforrest_movie_denoised,2/26/2019,3/19/2019,1,MRI - func,Healthy/Control,"18-25, 26-34, 35-50",forrest gump,,naturalistic stimuli,processing sensory information,No,Yes,Human,"https://doi.org/10.1038/sdata.2014.3, https://doi.org/10.1038/sdata.2016.92, 10.1016/j.dib.2017.05.014, 10.12688/f1000research.6679.1, 10.1038/s41597-019-0303-3",,"Hanke, Michael"
ds001771,https://openneuro.org/datasets/ds001771/versions/1.0.2,InterTVA. A multimodal MRI dataset for the study of inter-individual differences in voice perception and identification.,2/26/2019,2/28/2019,40,"MRI - anat, MRI - func, MRI - dwi, Field Map",,,"rest, voice localizer, voice identification",,,voice perception and voice identification,No,No,Human,"10.1016/j.dib.2020.105170, https://hal.archives-ouvertes.fr/tel-02515222/document, arXiv:2004.02804v1",,"Takerkart, Sylvain"
ds001775,https://openneuro.org/datasets/ds001775/versions/1.0.1,Neural Differentiation Tracks Improved Recall of Competing Memories Following Interleaved Study and Retrieval Practice,3/1/2019,3/6/2019,24,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Retrieval practice, study ",,,"Memory, retrieval",No,No,Human,10.1093/cercor/bhu284,,"Norman, Ken"
ds001780,https://openneuro.org/datasets/ds001780/versions/1.0.0,SC MRI dataset,3/6/2019,3/6/2019,1,MRI - anat,,,,,,SC MRI dataset,No,No,Human,,,
ds001784,https://openneuro.org/datasets/ds001784/versions/1.1.1,Effects of ON/OFF deep brain stimulation on cognitive control in treatment-resistant depression (EEG),3/7/2019,4/4/2019,14,"MRI - anat, EEG, beh",Depression,"26-34, 35-50, 51-65, 66+","Multi-Source Interference Task, rest",,Objective to evaluate VCVS DBS modulated human cognitive control capabilities and cortical neural oscillations relevant to those capabilities,"cognitive control, DBS therapy ",No,Yes,Human,"10.1038/s41467-019-09557-4, 10.1016/j.biopsych.2015.10.029",,"Dougherty, Darin"
ds001785,https://openneuro.org/datasets/ds001785/versions/1.0.2,Evidence accumulation relates to perceptual consciousness and monitoring,2/26/2021,2/26/2021,18,EEG,Healthy/Control,"18-25, 26-34",tactile detection,,,Perceptual consciousness,No,Yes,Human,10.1101/2020.07.10.196659,,"Faivre, Nathan"
ds001787,https://openneuro.org/datasets/ds001787/versions/1.0.0,EEG meditation study,3/8/2019,3/8/2019,24,EEG,Healthy/Control,"26-34, 35-50, 51-65, 66+",meditation,,meditate continuously throughout the experiment in their usual seated meditation position,meditation and mind wandering,Yes,No,Human,10.1007/s00221-016-4811-5,,"Delorme, Arnaud"
ds001796,https://openneuro.org/datasets/ds001796/versions/1.3.0,Bilingualism and the brain,3/14/2019,3/25/2019,64,"MRI - anat, MRI - func, MRI - dwi, FieldMap",Healthy/Control,"18-25, 26-34, 35-50, 51-65",rest,,Language differences in bilingual adults,Language differences ,No,No,Human,10.1073/pnas.1811513116,,"Pliatsikas, Christos"
ds001810,https://openneuro.org/datasets/ds001810/versions/1.1.0,"EEG study of the attentional blink; before, during, and after transcranial Direct Current Stimulation (tDCS)",3/21/2019,5/28/2019,47,EEG,Healthy/Control,"18-25, 26-34",Attentional blink,,"performed an attentional blink (AB) task before, during and after transcranial Direct Current Stimulation",attention,Yes,Yes,Human,,,"Slagter, Heleen"
ds001814,https://openneuro.org/datasets/ds001814/versions/1.0.3,Neuroanatomical correlates of approach-avoidance conflict (fMRI),3/23/2019,3/25/2019,35,"MRI - anat, MRI - func",,"18-25, 26-34, 35-50, 51-65",Aversion-Reward Conflict,108,series of choices between two options: a safe option or a risky option with probability of electrical stimulation in the risky option,"decision-making, risk",No,No,Human,10.1523/ENEURO.0115-19.2019,,"Dougherty, Darin"
ds001818,https://openneuro.org/datasets/ds001818/versions/1.0.0,CAT Faces MRI experiment,7/10/2019,4/3/2019,50,"MRI - anat, MRI - func",,,"localizer, probe, responsetostim, training",,,memory,Yes,No,Human,10.1002/hbm.24859,,"Schonberg, Tom"
ds001832,https://openneuro.org/datasets/ds001832/versions/1.0.0,Resting State - TMS,4/4/2019,4/4/2019,16,"MRI - anat, MRI - func",Healthy/Control,,rest,,TMS,Modulation of fronto-striatal network,Yes,Yes,Human,10.3389/fnhum.2019.00190,,"Binkofski, Ferdinand"
ds001838,https://openneuro.org/datasets/ds001838/versions/1.0.1,Handedness and Symbolic Number Representation,4/4/2019,4/5/2019,53,"MRI - anat, MRI - func",,"18-25, 26-34",Adaptation,30,,Handedness and Symbolic Number Representation,No,No,Human,10.1016/j.cortex.2019.07.017,,"Ansari, Daniel"
ds001839,https://openneuro.org/datasets/ds001839/versions/1.0.0,Spinal stimulation stepping and standing dataset,4/4/2019,4/4/2019,6,"MRI - anat, MRI - func",Healthy/Control,,"rest15, rest30, stand15, stand30, step15, step30",12,purpose of the experiment was to examine the effects of spinal stimulation on cortical network activation,cortical network,No,No,Human,,,"Sayenko, Dimitry"
ds001840,https://openneuro.org/datasets/ds001840/versions/1.0.0,Prestimulus Exp1,7/20/2019,7/20/2019,24,"MRI - anat, MRI - func, eyetrack",,"18-25, 26-34",viewclips,,,,No,No,Human,10.1093/cercor/bhz212,,"Cohen, Noga"
ds001847,https://openneuro.org/datasets/ds001847/versions/1.0.1,"A Probability Distribution over Latent Causes, in the Orbitofrontal Cortex",4/10/2019,4/11/2019,32,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",Photographs task,30,"Created a probabilistic environment in which
participants were required to make inferences about the hidden
causes that generated their observations","orbitofrontal cortex, reinforcement learning, decision-making, episodic memory",No,No,Human,10.1523/JNEUROSCI.0659-16.2016,,"Norman, Ken"
ds001848,https://openneuro.org/datasets/ds001848/versions/1.0.1,"Parallel Adaptation of Symbols, Quantities, and Physical Size",4/11/2019,4/12/2019,52,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",Parallel Adaptation,65,,"Isolate the representations of symbols, quantities, and physical size",No,No,Human,10.31234/osf.io/xw2fq,,"Ansari, Daniel"
ds001849,https://openneuro.org/datasets/ds001849/versions/1.0.0,RS_TMSEEG_Data,8/21/2019,8/21/2019,20,EEG,,,,,tms-eeg,,No,No,Human,,,"Wassermann, Eric"
ds001875,https://openneuro.org/datasets/ds001875/versions/1.0.3,TheVirtualBrain Macaque_MRI,4/26/2019,6/5/2019,9,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,,rest,,validate macaque connectome in TheVirtualBrain,,No,Yes,Macaque,https://doi.org/10.1101/480905,,"McIntosh, Anthony"
ds001882,https://openneuro.org/datasets/ds001882/versions/1.0.7,Social Decision-Making Intertemporal Choice Task Dataset,4/26/2019,7/15/2019,20,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",SocialIntertemporalChoice,30,task requires participants to make choices either for themselves or for other individuals in the study between a larger amount of money later or a smaller amount of money sooner,decision-making,No,No,Human,10.7554/eLife.44939,,"Chang, Steve"
ds001883,https://openneuro.org/datasets/ds001883/versions/1.0.2,Social Decision-Making Risky Choice Task Dataset,4/27/2019,7/15/2019,21,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50, 51-65",SocialRiskyChoice,30,choices either for themselves or for other individuals in the study between a larger amount of money with a smaller probability of receiving reward or a smaller amount of money with a higher probability of receiving reward,decision-making,No,No,Human,10.7554/eLife.44939,,"Chang, Steve"
ds001890,https://openneuro.org/datasets/ds001890/versions/1.0.1,Mouse_rest_3xTG,5/2/2019,6/17/2019,30,"MRI - anat, MRI - func","Alzheimer's mice, Hydrocephalus",2-6 (months),rest,,,Alzheimer's,Yes,No,Mouse,10.19185/matters.201905000001,,"Grandjean, Joanes"
ds001894,https://openneuro.org/datasets/ds001894/versions/1.2.1,Longitudinal Brain Correlates of Multisensory Lexical Processing in Children,5/4/2019,5/22/2019,188,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,"0-10, 11-17","Audio-Audio Non-Word Rhyming, Audio-Audio Word Rhyming, Audio-Visual Non-Word Rhyming, Audio-Visual Word Rhyming, Visual-Visual Non-Word Rhyming, Visual-Visual Word Rhyming",,,lexical processing,Yes,Yes,Human,"10.3389/fnhum.2013.00388, 10.1002/hbm.22147, 10.1162/jocn_a_00581, 10.1093/cercor/bht100, 10.1016/j.bandl.2014.12.002, 10.1016/j.dcn.2015.05.002, 10.1111/desc.12245, 10.1111/desc.12428, 10.1016/j.neuroimage.2017.06.044, 10.1016/j.bandl.2017.09.006, 10.31234/osf.io/u7wty, 10.1038/s41597-019-0338-5",,"Booth, James"
ds001907,https://openneuro.org/datasets/ds001907/versions/2.0.3,ANT: Healthy aging and Parkinson's disease,5/8/2019,5/15/2019,46,"MRI - anat, MRI - func","Healthy/Control, Parkinson Disease","51-65, 66+",Attention network test,72,,"attention network, executive attention",Yes,Yes,Human,"10.12688/f1000research.19288, 10.1089/brain.2014.0248, 10.1016/j.nicl.2016.11.004",,"Grabowski, Thomas"
ds001912,https://openneuro.org/datasets/ds001912/versions/1.0.2,S-cone_MotionInDepth_fMRI,5/10/2019,5/16/2019,17,"MRI - anat, MRI - func",,,"MT/MST functional localizers, Motion in depth",50,,Vision,No,No,Human,10.1073/pnas.1817202116,,"Wade, Alex"
ds001921,https://openneuro.org/datasets/ds001921/versions/1.0.0,"Anterior cingulate engagement in a foraging context reflects choice difficulty, not foraging value",5/15/2019,5/15/2019,15,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",forage-engage decision,,,"dorsal anterior cingulate, decision making ",No,No,Human,10.1038/nn.3771,,"Botvinick, Matthew"
ds001923,https://openneuro.org/datasets/ds001923/versions/1.0.0,"Anterior cingulate engagement in a foraging context reflects choice difficulty, not foraging value (2)",5/15/2019,5/15/2019,14,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",forage-engage decision,,,"dorsal anterior cingulate, decision making ",No,No,Human,10.1038/nn.3771,,"Botvinick, Matthew"
ds001926,https://openneuro.org/datasets/ds001926/versions/1.0.1,Violation Differentiation,5/17/2019,5/21/2019,32,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34","Localizer, Post Test Phase, Study Phase, Test Phase",,,competing memories,Yes,Yes,Human,10.1523/JNEUROSCI.3272-16.2017,,"Turk-Browne, Nicholas"
ds001927,https://openneuro.org/datasets/ds001927/versions/2.0.1,The physiological effects of non-invasive brain stimulation fundamentally differ across the human cortex,5/16/2019,5/17/2019,23,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",rest,,TMS-fMRI sessions,"prefrontal, occipital, temporo-parietal control",Yes,No,Human,10.1101/639237,,"Riedl, Valentin"
ds001928,https://openneuro.org/datasets/ds001928/versions/1.1.0,Functional Connectivity of Music-Induced Analgesia in Fibromyalgia,10/15/2019,10/15/2019,40,"MRI - anat, MRI - func, MRI - dwi","Healthy/Control, fibromyalgia ","18-25, 26-34, 35-50, 51-65, 66+","music, pink noise exposure",,,analgesic effects of music in chronic pain,No,No,Human,10.1038/s41598-019-51990-4,,"Garza-Villarreal, Eduardo"
ds001942,https://openneuro.org/datasets/ds001942/versions/1.0.0,Auditory localization with 7T fMRI,5/23/2019,5/23/2019,10,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34",auditory,,,auditory,Yes,No,Human,10.1101/568139,10.3389/fnins.2020.00825,"De Martino, Federico"
ds001945,https://openneuro.org/datasets/ds001945/versions/1.0.0,MouseLemurAtlas_MRIraw,5/24/2019,5/24/2019,34,MRI - anat,Healthy/Control,,,,build and validate the mouse lemur template and atlas,Template construction,No,No,mouse lemur,10.1016/j.neuroimage.2018.10.010,,"Picq, Jean-Luc"
ds001946,https://openneuro.org/datasets/ds001946/versions/1.0.1,Hippocampal-neocortical interactions sharpen over time for predictive actions,8/12/2019,8/12/2019,24,"MRI - anat, MRI - func, Field Map",Healthy/Control,"18-25, 26-34",actions,,,"Hippocampus, predictive actions",No,No,Human,10.1038/s41467-019-12016-9,,"Turk-Browne, Nicholas"
ds001971,https://openneuro.org/datasets/ds001971/versions/1.1.1,Audiocue walking study,6/7/2019,6/12/2019,20,EEG,Healthy/Control,"18-25, 26-34",walking to auditory cues with infrequent tempo shifts,,,gait adaptation,No,No,Human,"10.1038/s41597-019-0223-2, 10.1523/JNEUROSCI.3543-15.2016",,"Müller-Putz, Gernot"
ds001972,https://openneuro.org/datasets/ds001972/versions/1.0.1,svndl_anatomy,6/12/2019,6/12/2019,33,MRI - anat,Healthy/Control,"18-25, 26-34, 35-50",,,,Vision,No,No,Human,10.1101/208033,,"Norcia, Anthony"
ds001978,https://openneuro.org/datasets/ds001978/versions/1.0.3,Image segmentation Based on Relative Motion and Relative Disparity Cues (central letter task),6/8/2019,6/14/2019,14,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34, 35-50","Relative disparity cues, Relative motion cues",,,Vision,No,No,Human,10.1101/208033,,"Norcia, Anthony"
ds001981,https://openneuro.org/datasets/ds001981/versions/1.0.2,Temporal stability of fMRI in medetomidine-anesthetized rats,9/19/2019,9/19/2019,24,"MRI - anat, MRI - func",Healthy/Control,,,,,temporal stability in rats,No,No,Adult Wistar rats,10.1038/s41598-019-53144-y,,"Boretius, Susann"
ds001984,https://openneuro.org/datasets/ds001984/versions/1.0.2,Image segmentation Based on Relative Motion and Relative Disparity Cues (passive fixation),6/14/2019,6/14/2019,15,"MRI - anat, MRI - func, FieldMap",Healthy/Control,"18-25, 26-34, 35-50","Cont, disp, motion",,,Vision,No,No,Human,10.1101/208033,,"Norcia, Anthony"
ds002000,https://openneuro.org/datasets/ds002000/versions/1.0.0,reinstatement_fidelity,6/28/2019,6/28/2019,21,"MRI - anat, MRI - func, EEG",Healthy/Control,,reinstatement fidelity,303,,alpha/beta power,No,No,Human,10.1101/633107,,"Hanslmayr, Simon"
ds002001,https://openneuro.org/datasets/ds002001/versions/1.0.0,Rivalry_Tagging,6/28/2019,6/28/2019,10,"MRI - anat, MEG",,,rivalry,,,,No,No,Human,10.1371/journal.pone.0218529,,"Mendola, Janine"
ds002006,https://openneuro.org/datasets/ds002006/versions/1.0.0,Memory and decision making dataset,7/1/2019,7/1/2019,30,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Color dots, food choice, memory",,,"decision-making, memory",No,No,Human,10.1101/269290,,"Shohamy, Daphna"
ds002011,https://openneuro.org/datasets/ds002011/versions/1.0.0,Locus coeruleus activity strengthens prioritized memories under arousal,7/3/2019,7/3/2019,22,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","Overlap (Monetary Encoding Incentive) Task, PPA/LOC functional Localizer",,,memory,No,No,Human,10.1523/JNEUROSCI.2097-17.2017,,"Mather, Mara"
ds002013,https://openneuro.org/datasets/ds002013/versions/1.0.0,StimDisc,7/29/2019,7/29/2019,4,"MRI - anat, MRI - func",Healthy/Control,26-34,"CircleCon, CircleRun",,retinotopic mapping experiment,visual system,No,No,Human,"10.1016/j.neuroimage.2011.02.077, 10.1101/610626",,"Haynes, John-Dylan"
ds002014,https://openneuro.org/datasets/ds002014/versions/1.0.1,Language Production fMRI,10/30/2019,10/30/2019,1,"MRI - anat, MRI - func",Epilepsy,,"language production task, semantic fluency",,,language,No,No,Human,10.1101/725671v1,,"Labudda, Kirsten"
ds002016,https://openneuro.org/datasets/ds002016/versions/1.0.0,BigBrainMRICoreg,7/9/2019,8/20/2019,1,MRI - anat,Healthy/Control,51-65,,,Big Brain MRI co-registrations,,No,Yes,Human,"10.1038/s41597-019-0217-0, 10.1016/j.dib.2017.04.013, 10.1007/s11548-014-1068-y, 10.1101/561118, 10.1126/science.1235381",,"Khan, Ali"
ds002033,https://openneuro.org/datasets/ds002033/versions/1.0.0,Investigating the visual number form area: A replication study,7/12/2019,7/12/2019,43,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",Change Detection,114,,"visual, numerical representation ",No,No,Human,"10.1098/rsos.182067, 10.1016/j.neuroimage.2020.116716",,"Ansari, Daniel"
