,AccessionNumber,Dataset URL,Dataset name,ReleaseDate,Most recent snapshot date (MM/DD/YYYY),NSubjects,Modalities,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
562,ds003694,https://openneuro.org/datasets/ds003694/versions/1.0.0,MEGMEM,7/13/2021,7/13/2021,28,MEG,,,MEM,,,,No,No,,https://doi.org/10.1101/2020.01.22.915330,,"Hanslmayr, Simon"
563,ds003696,https://openneuro.org/datasets/ds003696/versions/1.0.0,Action-related object pairs - fMRI dataset,4/13/2022,4/13/2022,30,"bold, events, T1w",,"18-25, 26-34",affordance,,,,No,No,Human,,,"Heinke, Dietmar"
564,ds003701,https://openneuro.org/datasets/ds003701/versions/1.0.1,Concrete Permuted Rule Operations,6/22/2021,6/22/2021,96,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","cpro, rest",,,,No,No,,,,"Cole, Michael W."
565,ds003702,https://openneuro.org/datasets/ds003702/versions/1.0.1,Social Memory cuing,6/15/2021,6/15/2021,47,EEG,,,Social Memory cuing,,,,No,No,Human,,,"Kessler, Klaus"
566,ds001306,https://openneuro.org/datasets/ds001306/versions/1.0.0,negative_template,10/21/2022,10/21/2022,17,"MRI - func, MRI - anat",,"18-25, 26-34",vissearch,,,Cognitive Neuroscience,No,No,Human,https://doi.org/10.1080/13506285.2017.1339755,,"Pollmann, Stefan"
567,ds003703,https://openneuro.org/datasets/ds003703/versions/1.0.0,Frequency Tagging of Syntactic Structure or Lexical Properties,6/23/2021,6/23/2021,34,MEG,,"18-25, 26-34, 35-50","listeningToSpeech, rest",48,Within-subject,Syntax,No,No,Human,,,"Kazanina, Nina"
568,ds003707,https://openneuro.org/datasets/ds003707/versions/1.0.0,Abrupt hippocampal remapping signals resolution of memory interference.,6/25/2021,6/25/2021,36,"MRI - func, MRI - anat",Healthy / Control,,"objects old new identification, scenes old new identification",,,Episodic Memory,No,No,Human,,,"Kuhl, Brice A."
569,ds003708,https://openneuro.org/datasets/ds003708/versions/1.0.4,Basis profile curve identification to understand electrical stimulation effects in human brain networks,6/23/2021,6/23/2021,1,iEEG,Other,,rest,495,Single subject,connectivity,No,Yes,Human,https://doi.org/10.1101/2021.01.24.428020,https://doi.org/10.1101/2021.01.24.428020,"Clinic, Multimodal Neuroimaging Laboratory at Mayo"
570,ds003709,https://openneuro.org/datasets/ds003709/versions/1.0.0,NIMH-CompyPsych MMI,6/28/2021,6/28/2021,51,"MRI - func, MRI - anat",,"11-17, 18-25",MMI,,,,No,No,,,,"Stringaris, Argyris"
571,ds003710,https://openneuro.org/datasets/ds003710/versions/1.0.2,APPLESEED Example Dataset,7/12/2021,7/12/2021,13,EEG,Healthy / Control,,APPLESEED example,,,,Yes,No,Human,https://doi.org/10.1186/s12916-020-01683-x,,"Puglia, Meghan H."
572,ds003711,https://openneuro.org/datasets/ds003711/versions/1.0.0,The Contributionsof Eye Gaze Fixations and Target-Lure Similarity to Behavioral and fMRI Indices of Pattern Separation and Pattern Completion,7/2/2021,7/2/2021,35,"MRI - func, MRI - anat",,"18-25, 26-34",MST,,,,No,No,Human,,,"Kirwan, C. Brock"
573,ds003714,https://openneuro.org/datasets/ds003714/versions/1.0.1,Test,7/1/2021,7/1/2021,1,"MRI - anat, MRI - func",,,meditation,,,,No,No,,,,"Chowdhury, Avijit"
574,ds003715,https://openneuro.org/datasets/ds003715/versions/1.0.0,Visual and auditory brain areas share a representational structure that supports emotion perception: fMRI data,9/16/2021,9/16/2021,20,"T1w, bold, events",,,viewing,,Event-related,,No,No,Human,,,"Wheatley, Thalia"
575,ds003716,https://openneuro.org/datasets/ds003716/versions/1.0.0,Subcortical DMN functional connectivity,7/13/2021,7/13/2021,1,MRI - anat,Healthy / Control,,,,,,No,No,Human,,,"L., Edlow B."
576,ds003717,https://openneuro.org/datasets/ds003717/versions/1.1.0,Visual and audiovisual speech perception associated with increased functional connectivity between sensory and motor regions,10/15/2021,10/15/2021,60,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","SESS01, SESS02, SESS03, SESS04, SESS05, SESS06",,,audiovisual speech,No,No,Human,,,"N, Tye-Murray"
577,ds003720,https://openneuro.org/datasets/ds003720/versions/1.0.1,Music Genre fMRI Dataset,8/11/2021,8/11/2021,5,"MRI - func, MRI - anat",Healthy / Control,,"Test, Training",540,Small-N design,Auditory Neuroscience,No,No,Human,https://doi.org/10.1002/brb3.1936,"Nakai, Koide-Majima, and Nishimoto (2021). Correspondence of categorical and feature-based representations of music in the human brain. Brain and Behavior. 11(1), e01936.","Nishimoto, Shinji"
578,ds003721,https://openneuro.org/datasets/ds003721/versions/1.0.1,"Visser, Henson, Holmes. A naturalistic paradigm to investigate post-encoding neural activation patterns in relation to subsequent voluntary and intrusive recall of distressing events",8/17/2021,8/17/2021,35,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50","BI, Film, React",16,"experimental, multi-session, naturalistic stimuli",Emotional memory,No,No,Human,,,"Holmes, Emily A"
579,ds003739,https://openneuro.org/datasets/ds003739/versions/1.0.3,Perturbed beam-walking task,7/23/2021,7/23/2021,30,EEG,Healthy / Control,"18-25, 26-34",mixed,600,Event-related,Sensorimotor perturbations,No,No,Human,10.1523/ENEURO.0207-18.2018,,"Ferris, Daniel"
580,ds003745,https://openneuro.org/datasets/ds003745/versions/2.1.1,Social Reward Processing and Decision Making in Younger and Older Adults,7/27/2021,7/27/2021,50,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 51-65, 66+","sharedreward, trust, ultimatum",,,,No,Yes,Human,https://doi.org/10.1101/2021.07.29.454071,,"Fareri, Dominic S."
581,ds003751,https://openneuro.org/datasets/ds003751/versions/1.0.6,Dataset on Emotion with Naturalistic Stimuli,8/8/2021,8/8/2021,40,EEG,Healthy / Control,"18-25, 26-34",Emotion,,Single-trial,Emotion,No,No,Human,"https://doi.org/10.3390/brainsci12060702, https://doi.org/10.3390/brainsci12081106, 10.1109/ACCESS.2023.3266804","https://doi.org/10.3390/brainsci12060702, https://doi.org/10.3390/brainsci12081106, 10.1109/ACCESS.2023.3266804","Srinivasan, Narayanan"
582,ds003752,https://openneuro.org/datasets/ds003752/versions/1.0.0,LFContrast,7/30/2021,7/30/2021,3,"MRI - func, MRI - anat",Healthy / Control,,LFContrast,,,Color Vision,No,No,Human,https://doi.org/10.1101/2020.12.03.410506 ,,"brainard, david"
583,ds003753,https://openneuro.org/datasets/ds003753/versions/1.1.0,Probabilistic Learning with Affective Feedback: Exp #2,9/29/2021,9/29/2021,25,EEG,Healthy / Control,"18-25, 26-34",ProbabilisticSelection,,Reinforcement Learning,Reinforcement Learning,No,No,Human,,pending,"Cavanagh, James F"
584,ds003754,https://openneuro.org/datasets/ds003754/versions/1.0.2,Conscious-SEEG-Dataset,8/6/2021,8/6/2021,44,iEEG,Other,"0-10, 11-17, 18-25, 26-34, 35-50","ana2con, con2ana",2,,Consciousness,No,No,Human,,,"Dai, Qionghai"
585,ds003758,https://openneuro.org/datasets/ds003758/versions/1.0.2,Dynamic representation of the subjective value of information,8/17/2021,8/17/2021,15,"MRI - func, MRI - anat",,"18-25, 26-34",beads,,,,No,No,Human,,,"Nassar, Matthew R."
586,ds003763,https://openneuro.org/datasets/ds003763/versions/1.0.5,Interoception during aging: The heartbeat detection task,8/12/2021,8/12/2021,62,"MRI - func, MRI - anat",,,heart,,,interoception,No,No,Human,,,"Krotenkova, Marina V."
587,ds003764,https://openneuro.org/datasets/ds003764/versions/1.0.5,Neural dynamics underlying the acquisition of distinct auditory category structures,8/10/2021,8/10/2021,60,"MRI - func, MRI - anat",Healthy / Control,,categorization,240,within-subject,Auditory Category Learning,No,No,Human,https://doi.org/10.1101/2021.01.25.428107,,"Feng, Gangyi"
588,ds003768,https://openneuro.org/datasets/ds003768/versions/1.0.11,Simultaneous EEG and fMRI signals during sleep from humans,8/17/2021,8/17/2021,33,"MRI - func, MRI - anat, EEG",,,"rest, sleep",,,Human sleep,No,No,Human,,,"Liu, Xiao"
589,ds003770,https://openneuro.org/datasets/ds003770/versions/1.2.1,Depression Treatment by Medial Prefrontal Real-Time fMRI Neurofeedback,8/20/2021,8/20/2021,8,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",rt-fmri regulation of medial prefrontal cortex,,,fmri,No,No,Human,10.1007/s00406-022-01462-0,,"ED, Petrovskii"
590,ds003772,https://openneuro.org/datasets/ds003772/versions/1.0.1,Functionally dissociable influences on learning rate in a dynamic environment,8/20/2021,8/20/2021,32,"MRI - func, MRI - anat",,"18-25, 26-34",change-point helicopter fmri,,,,No,No,,,,"Kable, Joseph W."
591,ds003774,https://openneuro.org/datasets/ds003774/versions/1.0.2,Music Listening- Genre EEG dataset (MUSIN-G),8/24/2021,8/24/2021,20,EEG,,,MusicListening,,20 Participants listened to 12 songs from different Genres,Music,No,No,Human,,,"Lomas, Derek"
592,ds003775,https://openneuro.org/datasets/ds003775/versions/1.2.1,SRM Resting-state EEG,8/25/2021,8/25/2021,111,EEG,Healthy / Control,"11-17, 18-25, 26-34, 35-50, 51-65, 66+",resteyesc,,,"EEG, resting-state",No,No,Human,http://dx.doi.org/10.1111/ejn.14964,,"Andersson, Stein"
593,ds003777,https://openneuro.org/datasets/ds003777/versions/1.0.1,bids_dataset,9/14/2021,9/14/2021,4,"MRI - func, MRI - anat",,,"locAPSTARC, locAPSTARCtsm, locAPcovSoS, locPASoS5vol, locAPSTARCps",,,MRI methodology applied to fMRI,No,No,Human,,,"Boulant, Nicolas"
594,ds003778,https://openneuro.org/datasets/ds003778/versions/1.0.0,Adaptive memory distortions are predicted by feature representations in parietal cortex,8/30/2021,8/30/2021,32,"MRI - func, MRI - anat",,,"perception, retrieval",,,Memory,No,No,Human,https://doi.org/10.1523/JNEUROSCI.2875-20.2021,Adaptive memory distortions are predicted by feature representations in parietal cortex,"Kuhl, Brice"
595,ds003782,https://openneuro.org/datasets/ds003782/versions/1.0.1,Neural Correlates of Effort-Based Valuation Under Risk,8/30/2021,8/30/2021,40,"MRI - func, MRI - anat",,,"probeeffortmixedgambles, efforttraining, probabilitymixedgambles",,,Value based decision making,No,No,Human,10.1016/j.neuroimage.2018.10.051,"Aridan, N., Malecek, N. J., Poldrack, R. A., & Schonberg, T. (2019). Neural correlates of effort-based valuation with prospectivAridan, N., Malecek, N. J., Poldrack, R. A., & Schonberg, T. (2019). Neural correlates of effort-based valuation with prospective choices. Neuroimage, 185, 446-454.‏e choices. Neuroimage, 185, 446-454.‏","Schonberg, Tom"
596,ds003787,https://openneuro.org/datasets/ds003787/versions/1.0.1,"NYU Retinotopy Dataset

",9/28/2021,9/28/2021,44,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",prf,,Computational model,Cortical vision,No,No,Human,,,"Winawer, Jon"
597,ds003789,https://openneuro.org/datasets/ds003789/versions/2.0.0,visual memory,7/8/2022,7/8/2022,32,"MRI - func, MRI - anat",,18-25,"encoding, retrieval",,,,No,No,,,,"Zhu, Bi"
598,ds003791,https://openneuro.org/datasets/ds003791/versions/1.0.0,Sniffing the Human Body-Volatile Hexadecanal Blocks Aggression in Men but Triggers Aggression in Women,9/5/2021,9/5/2021,49,"MRI - func, MRI - anat",Healthy / Control,,PSAP,,within subject event related,"aggression, cognition, social chemosignals",No,No,Human,,,"Sobel, Noam"
599,ds003798,https://openneuro.org/datasets/ds003798/versions/1.0.5,Caltech Conte Core MRI,1/14/2022,1/14/2022,117,"MRI - func, MRI - anat",,,"rest, bang, pixar",,,,No,No,,,,"authorship, * Joint senior"
600,ds003799,https://openneuro.org/datasets/ds003799/versions/2.0.0,MRI Lab Graz: A Two-Week Running Intervention Reduces Symptoms Related to Depression and Increases Hippocampal Volume in Young Adults,9/8/2021,9/8/2021,48,MRI - anat,,"18-25, 26-34",,,,,Yes,No,Human,,,"Papousek, Ilona"
601,ds003800,https://openneuro.org/datasets/ds003800/versions/1.0.0,Auditory Gamma Entrainment,9/28/2021,9/28/2021,13,EEG,Dementia,,"AuditoryGammaEntrainment, Rest",6,,Gamma Entrainment,No,No,Human,,Gamma Entrainment Improves Synchronization Deficits Caused by Dementia,"Vahabi, Zahra"
602,ds003801,https://openneuro.org/datasets/ds003801/versions/1.0.0,Neural Tracking to go,11/15/2021,11/15/2021,20,EEG,,"18-25, 26-34, 35-50",NeuralTrackingToGo,6,Participants were presented with a two-competing speaker paradigm. Salient environmental sound occurred infrequently. During presentation of the auditory scene participants eother walked a pre-determined indoor route (50% of trials) or sat on a chair. ,Auditory Attention,No,No,Human,,,"Mirkovic, Bojana"
603,ds003805,https://openneuro.org/datasets/ds003805/versions/1.0.0,Multisensory Gamma Entrainment,9/28/2021,9/28/2021,1,EEG,Healthy / Control,,MultisensoryGammaEntrainment,,,Gamma Entrainment,No,No,Human,,Gamma Entrainment Improves Synchronization Deficits Caused by Dementia,"Aghajan, Hamid"
604,ds003810,https://openneuro.org/datasets/ds003810/versions/2.0.2,Motor Imagery vs Rest - Low-Cost EEG System,9/20/2021,9/20/2021,10,EEG,Healthy / Control,"18-25, 26-34","MIvsRestRUN2, MIvsRestRUN3, MIvsRestRUN0, MIvsRestRUN1, MIvsRestRUN4",1,,,No,No,Human,https://doi.org/10.1016/j.heliyon.2020.e03425,https://doi.org/10.1016/j.heliyon.2020.e03425,"Spies, Ruben"
605,ds003812,https://openneuro.org/datasets/ds003812/versions/1.1.0,spatial_frequency_preferences,9/22/2021,9/22/2021,12,MRI - func,,"18-25, 26-34, 35-50",sfprescaled,,,,No,No,,,,"Simoncelli, Eero P."
606,ds003814,https://openneuro.org/datasets/ds003814/versions/1.0.0,Parallel systems for social and spatial reasoning,6/14/2024,6/14/2024,10,"MRI - func, MRI - anat",Healthy / Control,"26-34, 35-50","dyloc, famepisodic, famsemantic, famvisual, langloc, rest, tomloc2",,,Social and Spatial Cognition,No,No,Human,,,"Freiwald, Winrich"
607,ds003822,https://openneuro.org/datasets/ds003822/versions/1.1.0,Probabilistic Learning with Affective Feedback: Exp #1,9/29/2021,9/29/2021,25,EEG,Healthy / Control,"18-25, 26-34, 35-50",ProbabilisticSelection,,Reinforcement Learning with Affective Feedback,Reinforcement Learning,No,No,Human,pending,pending,"Cavanagh, James F"
608,ds003823,https://openneuro.org/datasets/ds003823/versions/1.3.3,Heart rate variability biofeedback training and emotion regulation,4/28/2022,4/28/2022,177,"MRI - func, MRI - anat",Healthy / Control,,,,pre vs. post intervention X 2 HRV biofeedback conditions,heart rate variability biofeedback and emotion regulaton,Yes,Yes,Human,doi: https://doi.org/10.1101/2021.09.20.461138 ,,"Mather, Mara"
609,ds003825,https://openneuro.org/datasets/ds003825/versions/1.2.0,"Human electroencephalography recordings from 50 subjects for 22,248 images from 1,854 object concepts",10/1/2021,10/1/2021,50,EEG,,"11-17, 18-25, 26-34",rsvp,,,,No,No,,,,"Carlson, Thomas"
610,ds003826,https://openneuro.org/datasets/ds003826/versions/3.0.1,Structural (t1) images of 113 young healthy adults; study of effects of chronotype on brain structure,10/1/2021,10/1/2021,136,MRI - anat,Healthy / Control,"18-25, 26-34, 35-50",,,,structural,No,No,Human,10.21203/rs.3.rs-588446/v1,preprint: https://www.researchsquare.com/article/rs-588446/v1,"Domagalik, Aleksandra"
611,ds003830,https://openneuro.org/datasets/ds003830/versions/1.0.0,resting state fMRI of 17 idiopathic epileptic dogs and 20 healthy control dogs,10/3/2021,10/3/2021,37,"MRI - func, MRI - anat",Epilepsy,,resting,,,,No,No,canine,,,"Haller, Sven"
612,ds003831,https://openneuro.org/datasets/ds003831/versions/1.0.0,Cognitive Control Theoretic Mechanisms of Real-time fMRI-Guided Neuromodulation (CTM),3/3/2022,3/3/2022,74,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50, 51-65","identify, modulate, rest",,,Emotion Regulation,No,No,Human,,https://doi.org/10.1101/2020.09.08.283671,"Bush, Keith A."
613,ds003834,https://openneuro.org/datasets/ds003834/versions/1.0.2,Shared neural codes for visual and semantic information about familiar faces in a common representational space,10/27/2021,10/27/2021,14,"MRI - func, MRI - anat",,"18-25, 26-34","fam1back, str1back, localizer",,,,No,No,,,,"Gobbini, M. Ida"
614,ds003835,https://openneuro.org/datasets/ds003835/versions/1.0.2,PE-Update,10/26/2021,10/26/2021,24,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","rest, videos",70,"24 participants viewed 70 narrative videos, each featuring a distinctive action-outcome event (e.g., a baseball batter hitting a home run, a woman crashing her car). The next day, participants watched the videos again while undergoing fMRI. Half of the videos were interrupted at the critical moment (e.g., while the baseball batter is mid-swing, immediately before the car crash impact) to elicit a feeling of surprise.  ",Memory,No,No,Human,https://doi.org/10.1101/2020.09.29.319418,https://doi.org/10.1101/2020.09.29.319418,"Barense, Morgan D"
615,ds003836,https://openneuro.org/datasets/ds003836/versions/1.0.0,Learning the statistics of pain,8/30/2022,8/30/2022,35,"MRI - func, MRI - anat",Healthy / Control,,tsl,1300,,"pain, statistical learning",No,No,Human,accepted in Nature Comms,,"Seymour, Ben"
616,ds003838,https://openneuro.org/datasets/ds003838/versions/1.0.6,"EEG, pupillometry, ECG and photoplethysmography, and behavioral data in the digit span task",10/19/2021,10/19/2021,65,EEG,,"18-25, 35-50",mixed,,,,No,No,,,,"Kotyusov, Alexander I."
617,ds003844,https://openneuro.org/datasets/ds003844/versions/1.0.3,RESPect,10/16/2021,10/16/2021,6,iEEG,,,task-acute,,,,No,No,,,,"M., Zijlmans"
618,ds003846,https://openneuro.org/datasets/ds003846/versions/2.0.2,Prediction Error,10/20/2021,10/20/2021,19,EEG,Healthy / Control,"18-25, 26-34",PredictionError,700,2 x 3,,No,No,Human,,,"Gramann, Klaus"
619,ds003848,https://openneuro.org/datasets/ds003848/versions/1.0.3,Dataset Clinical Epilepsy iEEG to BIDS - RESPect_longterm_iEEG,10/22/2021,10/22/2021,6,"MRI - anat, iEEG",,"11-17, 18-25, 35-50","task-SPESclin, task-Sleep, task-sleep, task-slawtrans, task-CHOCS1, task-Rest",,,,No,No,Human,https://doi.org/10.1101/2020.12.07.20245290,,"M., Zijlmans"
620,ds003849,https://openneuro.org/datasets/ds003849/versions/1.0.0,Individual differences in frontoparietal plasticity in humans,10/21/2021,10/21/2021,92,"MRI - func, MRI - anat",Healthy / Control,,"nback, rest, number",2,,"Neuroplasticity, Working memory",No,No,Human,,,"Mackey, Allyson P."
621,ds003850,https://openneuro.org/datasets/ds003850/versions/2.0.0,Next Gen VASO data at <0.1 micro liter voxels for ISMRM 2022,10/22/2021,10/22/2021,1,MRI - func,,,vis,,block ,brain,No,No,Human,,,"(uploader), Renzo Huber"
622,ds003851,https://openneuro.org/datasets/ds003851/versions/1.0.1,Category-biased neural representations form spontaneously during learning that emphasizes memory for specific instances,12/13/2021,12/13/2021,44,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",train,,,categorization,No,No,Human,,,"Zeithamova, D."
623,ds003858,https://openneuro.org/datasets/ds003858/versions/1.0.1,Monetary Incentive Delay task,10/26/2021,10/26/2021,12,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",MID,,Experiment,,No,No,Human,https://doi.org/10.1016/j.neuroimage.2021.118617,,"Knutson, Brian"
624,ds003871,https://openneuro.org/datasets/ds003871/versions/1.0.2,,11/5/2021,11/5/2021,62,"MRI - anat, MRI - func",,,rest,,,,No,No,Human,https://doi.org/10.1101/2021.07.09.451777,,"Reagh, Zachariah M."
625,ds003872,https://openneuro.org/datasets/ds003872/versions/1.0.0,The Reading Brain Project L2 Adults,11/9/2021,11/9/2021,56,"MRI - func, MRI - dwi, MRI - anat",,,"rest, read task",,,,No,No,,,,"Gu, Chanyuan"
626,ds003876,https://openneuro.org/datasets/ds003876/versions/1.0.2,Epilepsy-iEEG-Interictal-Multicenter-Dataset,8/4/2022,8/4/2022,39,iEEG,Epilepsy,,"interictal, interictalasleep, interictalawake",,,iEEG,No,No,Human,"10.1101/2021.10.15.464594, 10.1038/s41593-021-00901-w",https://www.biorxiv.org/content/10.1101/2021.10.15.464594v1,"Sarma, Sridevi"
627,ds003877,https://openneuro.org/datasets/ds003877/versions/1.1.1,BrainMorphometry_DiminishedGrowth_BEANstudy_2021,11/10/2021,11/10/2021,79,MRI - anat,,,,,,,Yes,No,Human,doi.org/10.1016/j.dcn.2021.101029,doi.org/10.1016/j.dcn.2021.101029,"Gaab, Nadine"
628,ds003885,https://openneuro.org/datasets/ds003885/versions/1.0.8,Capacity for movement is a major organisational principle in object representations: EEG data from Experiment 2,11/12/2021,11/12/2021,24,EEG,,"18-25, 26-34", movement,,,,No,No,Human,,,"Carlson, Thomas A."
629,ds003887,https://openneuro.org/datasets/ds003887/versions/1.2.3,Capacity for movement is a major organisational principle in object representations: EEG data from Experiment 3 ,11/12/2021,11/12/2021,24,EEG,,"18-25, 26-34", movement,,,,No,No,,,,"Carlson, Thomas A."
630,ds003892,https://openneuro.org/datasets/ds003892/versions/5.0.0,Loss and enhancement of layer-selective signals in geniculostriate and corticotectal pathways of adult human amblyopia,11/15/2021,11/15/2021,34,"MRI - func, MRI - anat",amblyopia,,"MP, locLR",,"Wen Wen, Yue Wang, Peng Zhang",amblyopia,No,No,Human,Loss and enhancement of layer-selective signals in geniculostriate and corticotectal pathways of adult human amblyopia,Cell Reports,"Zhang, Peng"
631,ds003900,https://openneuro.org/datasets/ds003900/versions/1.1.1,TractoInferno,11/22/2021,11/22/2021,1,MRI - anat,Healthy / Control,,,,,Machine learning tractography,No,No,Human,,,"Descoteaux, Maxime"
632,ds003922,https://openneuro.org/datasets/ds003922/versions/1.0.1,Multisensory Correlation Detector,5/2/2022,5/2/2022,13,"MRI - anat, MEG",Healthy / Control,,"mcd, rest, noise",,,Multisensory processing,No,No,Human,,,"van Wassenhove, V."
633,ds003927,https://openneuro.org/datasets/ds003927/versions/1.0.1,Informative neural representations of unseen contents during higher-order processing in human brains and deep artificial networks,11/23/2021,11/23/2021,7,"MRI - func, MRI - anat",,26-34,recog,1728,Within-subject,Consciousness,No,No,Human,https://doi.org/10.1101/2021.01.12.426428 ,Informative neural representations of unseen contents during higher-order processing in human brains and deep artificial networks,"Soto, David"
634,ds003928,https://openneuro.org/datasets/ds003928/versions/1.0.0,Rat_rest_standardRAT,12/6/2021,12/6/2021,10,"MRI - anat, MRI - func",,0-10,ep2d_fid_1000scans,,,,No,No,Rat,,,"Grandjean, Joanes"
635,ds003929,https://openneuro.org/datasets/ds003929/versions/1.0.0,Rat_rest_awake,12/6/2021,12/6/2021,9,"MRI - anat, MRI - func",,0-10,ep2d_fid_400scans,,,,No,No,Rat,,,"Grandjean, Joanes"
636,ds003944,https://openneuro.org/datasets/ds003944/versions/1.0.1,EEG: First Episode Psychosis vs. Control Resting Task 1,1/24/2022,1/24/2022,82,EEG,,"11-17, 18-25, 26-34, 35-50",Rest,,,,No,No,,,,"Coffman, Brian"
637,ds003947,https://openneuro.org/datasets/ds003947/versions/1.0.1,EEG: First Episode Psychosis vs. Control Resting Task 2,1/24/2022,1/24/2022,61,EEG,,"11-17, 18-25, 26-34, 35-50",rest,,,,No,No,,,,"Coffman, Brian"
638,ds003949,https://openneuro.org/datasets/ds003949/versions/1.0.1,Lausanne_TOF-MRA_Aneurysm_Cohort,12/2/2021,12/2/2021,284,MRI - anat,Healthy / Control,,,,Retrospective,Brain Aneurysm Detection in Time-Of-Flight Magnetic Resonance Angiography (TOF-MRA),No,Yes,Human, arXiv:2103.06168, arXiv:2103.06168,"Richiardi, Jonas"
639,ds003950,https://openneuro.org/datasets/ds003950/versions/1.0.0,ScenePerceptionAndParallelism,12/2/2021,12/2/2021,42,"MRI - func, MRI - anat",,,"bowtie, fpo, run, wholebrain",,fMRI Block Design,"Human Visual Perception, Scene Perception, Perceptual Organization",No,No,Human,,,"Walther, Dirk B."
640,ds003959,https://openneuro.org/datasets/ds003959/versions/1.0.1,Soma and Neurite Density MRI (SANDI) of the in-vivo mouse brain,12/16/2021,12/16/2021,6,MRI - dwi,,,,,,"Diffusion MRI, microstructure characterization",No,No,Mouse,https://doi.org/10.1101/2021.08.11.455923,,"Shemesh, Noam"
641,ds003965,https://openneuro.org/datasets/ds003965/versions/1.0.0,NI-edu-data-minimal,3/1/2022,3/1/2022,1,"MRI - func, MRI - anat",,,"face, flocBLOCKED",,,,No,No,Human,,,"Scholte, Steven"
642,ds003967,https://openneuro.org/datasets/ds003967/versions/1.0.0,7TAMIbrain,12/17/2021,12/17/2021,60,MRI - anat,,"18-25, 26-34, 35-50",,,,neuroscience,No,No,Human,,,"Troter, Arnaud Le"
643,ds003969,https://openneuro.org/datasets/ds003969/versions/1.0.0,Meditation vs thinking task,1/3/2022,1/3/2022,98,EEG,Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",mixed,,Block design,Meditation,No,No,Human,10.1371/journal.pone.0170647,https://pubmed.ncbi.nlm.nih.gov/28118405/,"Braboszcz, Claire"
644,ds003972,https://openneuro.org/datasets/ds003972/versions/1.0.0,Body Motor,1/5/2022,1/5/2022,8,"MRI - func, MRI - anat",,"18-25, 26-34",Body Motor,1,Event-related,Brain; Motor cortex,No,No,Human,doi: https://doi.org/10.1101/2020.11.12.379339,,"Petridou, N."
645,ds003974,https://openneuro.org/datasets/ds003974/versions/3.0.0,The Reading Brain Project L1 Adults,1/8/2022,1/8/2022,52,"MRI - func, MRI - dwi, MRI - anat",,,"read task, rest",,,,No,No,,,,"Gu, Chanyuan"
646,ds003987,https://openneuro.org/datasets/ds003987/versions/1.0.0,EEG: Amphetamine trials 5CCPT and Probabilistic Learning,2/1/2022,2/1/2022,23,EEG,,"18-25, 26-34, 35-50",5CCPTxPSTxAmphetamine,,3 drug sessions,Cognitive Control and Reinforcement Learning,Yes,No,Human,https://doi.org/10.1038/s41398-021-01562-w,TBA,"Young, Jared"
647,ds003988,https://openneuro.org/datasets/ds003988/versions/1.0.0,The Reading Brain Project L2 Adults,2/8/2022,2/8/2022,56,"MRI - func, MRI - dwi, MRI - anat",,,"read task, rest",,,,No,No,,,,"Gu, Chanyuan"
648,ds003989,https://openneuro.org/datasets/ds003989/versions/1.0.0,"Structural, diffusion and rs-functional MRI data in Macaque Monkeys",1/11/2022,1/11/2022,3,"MRI - func, MRI - anat, MRI - dwi",Healthy / Control,,rest,,,MRI,No,No,Monkey,10.1093/cercor/bhaa301,,"Durand, Jean-Baptiste"
649,ds003990,https://openneuro.org/datasets/ds003990/versions/1.0.2,fastVsSlowERtactile7T,1/12/2022,1/12/2022,6,"MRI - func, MRI - anat",Healthy / Control,,"ERSlow, PEBackward, PEForward, ERFast",,Event Related,Fingertip population receptive fields,No,No,Human,,,"Besle, Julien"
650,ds003993,https://openneuro.org/datasets/ds003993/versions/1.0.0,Inter-individual deep image reconstruction,3/10/2022,3/10/2022,2,"MRI - func, MRI - anat",,,"perceptionArtificialImage, perceptionNaturalImageTest",,,,No,No,Human,,,"Kamitani, Yukiyasu"
651,ds003999,https://openneuro.org/datasets/ds003999/versions/1.0.2,Pre-Post rehabilitation fMRI data of post-stroke patients.,6/29/2022,6/29/2022,29,"MRI - func, MRI - anat",,,rest,,,,No,No,,,,"(MSc), Karpulevich E."
652,ds004000,https://openneuro.org/datasets/ds004000/versions/1.0.0,Fribourg Ultimatum Game in Schizophrenia Study,1/20/2022,1/20/2022,43,EEG,,,responder,,,Schizophrenia,No,No,Human,,,"Richiardi, Jonas"
