ID,ACT_CATEGORY,ACT_CODE,ACT_TITLE,ACT_DESCRIPTION,ACT_WEB_ADDRESS
143,Cooperative Agreements,UC1,NIH Challenge Grants and Partnerships Program - Phase II-Coop.Agreement,"To promote the implementation of joint ventures between the NIH and both domestic and global entities to facilitate rapid implementation of R&D in biomedical or biotechnology projects for infectious diseases that benefit public health and have a commercial potential that otherwise could not have been attained without matching funds. 

Essential elements of grantee responsibility would include: 1) interim research and development of target goals upon whose achievement funds would be incrementally released to the awardee; 2) a single principle investigator who would be scientifically and administratively responsible for the project's research and development, and 3) a single applicant organization that would be legally and financially responsible for the funds awarded.",
204,Cooperative Agreements ,UC2,High Impact Research and Research Infrastructure Cooperative Agreement Programs,"To support high impact ideas through cooperative agreements that that may lay the foundation for new fields of investigation; accelerate breakthroughs; stimulate early and applied research on cutting-edge technologies; foster new approaches to improve the interactions among multi- and interdisciplinary research teams; or, advance the research enterprise in a way that could stimulate future growth and investments and advance public health and health care delivery.  This activity code could support either a specific research question or propose the creation of a unique infrastructure/resource designed to accelerate scientific progress in the future. This is the cooperative agreement companion to the RC2.",
207,Cooperative Agreements,UC3,"Biomedical Research, Development, and Growth to Spur the Acceleration of New Technologies (BRDG-SPAN) Cooperative Agreement Program","To accelerate the transition of NIH-supported research innovations and technologies toward the development of products or services that will improve human health, through cooperative agreements that may advance the mission of NIH and its Institutes and Centers (ICs), and create significant value and economic stimulus or, advance the research enterprise in a way that could stimulate future growth and investments and advance public health and health care delivery.  This activity code is intended to support research and development (R&D) specifically targeted at activities that can help address the funding gap between promising R&D and transitioning to the market, often called the “Valley of Death” by contributing the critical funding needed by applicants to pursue the next appropriate milestone(s) toward ultimate commercialization; i.e., to carry out later stage cooperative agreement activities necessary to that end; to foster partnerships among a variety of research and development (R&D) collaborators working toward these aims. The UC3 SPAN program is not intended to support “upstream” R&D for doing feasibility testing of an innovative idea or to conduct early-stage R&D as an extension of such ideas. (Projects such as these should be submitted under the NIH SBIR/STTR programs.)",
210,Cooperative Agreements ,UC4,High Impact Research and Research Infrastructure Cooperative Agreement Programs—Multi-Yr Funding ,"To support multi-year funded cooperative agreement research with high impact ideas that may lay the foundation for new fields of investigation; accelerate breakthroughs; stimulate early and applied research on cutting-edge technologies; foster new approaches to improve the interactions among multi- and interdisciplinary research teams; or, advance the research enterprise in a way that could stimulate future growth and investments and advance public health and health care delivery. This activity code could support either a specific research question or propose the creation of a unique infrastructure/resource designed to accelerate scientific progress in the future. It is the cooperative agreement companion to the RC4.  It is also the multi-year funded companion to the existing UC2; thus ICs need OER prior approval to use the UC4.",
108,Cooperative Agreements ,UC6,Construction Cooperative Agreement,"To provide financial support, substantial programmatic involvement and technical assistance for designing, constructing and commissioning of laboratories to be used as extramural facilities for bio-defense and emerging infectious diseases research.",
109,Cooperative Agreements ,UC7,National Biocontainment Laboratory Operation Cooperative Agreement,"To support core and shared resources for national biocontainment laboratories enabling them to develop and maintain the research resources and facilities needed to meet national, regional and local biodefense and emerging infectious diseases research needs. This support, by providing more accessible resources, is expected to assure greater productivity at the national biocontainment laboratories.",
144,Cooperative Agreements,UD1,Mental Health and/or Substance Abuse KD&A Cooperative Agreements,"To provide support to develop new knowledge about ways to improve the prevention and/or treatment of substance abuse and/or mental illness, and to work with State and local governments as well as providers, families, and consumers to apply that knowledge effectively in everyday practice. Outcome measures are the heart and core of the KD&As, do not provide operating funds for service programs, except as required by the knowledge development activity.",
193,Cooperative Agreements ,UE1,Studies of Environmental Hazards and Health Effects,"Studies ways to prevent or control health problems associated with exposure to air pollution, radiation, and other toxicants, as well as health problems resulting from natural, technological or terrorist disasters.",
194,Cooperative Agreements,UE2,Emergency and Environmental Health Services,"Provide national and international leadership for coordinating, delivering, and evaluating emergency and environmental public health services.",
257,Research Projects,UE5,Education Projects - Cooperative Agreements,"For support to develop and/or implement a program as it relates to a category in one or more of the areas of education, information, training, technical assistance, coordination, or evaluation.",
224,Cooperative Agreements,UF1,Multi-Year Funded Research Project Cooperative Agreement,"To support a discrete, specific, circumscribed project to be performed by the named investigator(s) in an area representing specific interest and competencies based on the mission of the agency, using standard peer review criteria.  This is the multi-year funded equivalent of the U01 but can be used also for multi-year funding of other research project cooperative agreements such as UM1 as appropriate.",
226,Cooperative Agreements,UF2,Rape Prevention and Education Cooperative Agreement,"To provide financial assistance to States for rape prevention and education programs conducted by rape crisis centers, State sexual assault coalitions, and other public and private nonprofit entities for: educational seminars, operation of hotlines, training for professionals, preparation of informational material; education and training for college and university students and personnel to reduce sexual assault; and awareness programs. The awards are based on a formula.",
236,Cooperative Agreements ,UG1,Clinical Research Cooperative Agreements - Single Project,"To support single project applications conducting clinical evaluation of various methods of therapy and/or prevention (in specific disease areas).  Substantial federal programmatic staff involvement is intended to assist investigators during performance of the research activities, as defined in the terms and conditions of the award. NOTE: The UG1 is the single-component companion to the U10 which is used for multi-project applications only.  ",
245,Cooperative Agreements,UG3,Phase 1 Exploratory/Developmental Cooperative Agreement,"As part of a bi-phasic approach to funding exploratory and/or developmental research, the UG3 provides support for the first phase of the award. This activity code is used in lieu of the UH2 activity code when larger budgets and/or project periods are required to establish feasibility for the project.",
240,Cooperative Agreements,UG4,National Network of Libraries of Medicine,"Multicomponent cooperative agreements are awarded to medical libraries to enable them to serve as regional medical libraries for their geographical areas. The purpose of the program is to develop a national system of regional medical libraries, each of which would have sufficient facilities to supplement the services of other medical libraries in its region.",
110,Cooperative Agreements ,UH1,HBCU Research Scientist Award,To assist HBCUs in strengthening and augmenting their human resources by recruiting an established research scientist; to enhance the career of the recruited research scientist; and to strengthen other HBCU resources for the conduct of biomedical and/or behavioral research.  The recruited research scientist must have received competitive and independent research support.,
188,Cooperative Agreements,UH2,Exploratory/Developmental Cooperative Agreement Phase I,To support the development of new research activities in categorical program areas. (Support generally is restricted in level of support and in time.),
189,Cooperative Agreements,UH3,Exploratory/Developmental Cooperative Agreement Phase II,"The UH3 award is to provide a second phase for the support for innovative exploratory and development research activities initiated under the UH2 mechanism. Although only UH2 awardees are generally eligible to apply for UH3 support, specific program initiatives may establish eligibility criteria under which applications could be accepted from applicants demonstrating progress equivalent to that expected under UH2.",
238,Cooperative Agreements,UH4,Hazmat Training at DOE Nuclear Weapons Complex,"To develop, implement, and evaluate programs to train workers who are or may be engaged in activities related to hazardous waste removal, containment, or emergency response at the DOE Nuclear Weapons Complex. This is the single project equivalent to the U45",
111,Cooperative Agreements ,UL1 ,Linked Specialized Center Cooperative Agreement,"To support clinical and translational research. The UL1 administratively linked to another project or projects. AUL1 award may only be disaggregated from a U54 application and organizations may not apply for a UL1, Linked Specialized Center Cooperative Agreement. The UL 1 activity code is used in lieu of the U54 for those programs that offer linked awards.",
219,Cooperative Agreements,UM1,Research Project with Complex Structure Cooperative Agreement,"To support cooperative agreements involving large-scale research activities with complicated structures that cannot be appropriately categorized into an available single component activity code, e.g. clinical networks, research programs or consortium.  The components represent a variety of supporting functions and are not independent of each component.  Substantial federal programmatic staff involvement is intended to assist investigators during performance of the research activities, as defined in the terms and conditions of the award.  The performance period may extend up to seven years but only through the established deviation request process.  ICs desiring to use this activity code for programs greater than 5 years must receive OPERA prior approval through the deviation request process.",
234,Cooperative Agreements,UM2,Program Project or Center with Complex Structure Cooperative Agreement,"To support cooperative agreements involving program projects or centers with complicated structures that cannot be appropriately categorized into an available multicomponent activity code, e.g. clinical networks, research programs or consortiums.  At least one component must be UM1-like, supporting a variety of functions that are dependent on each other and cannot be separated into distinct components.  Substantial federal programmatic staff involvement is intended to assist investigators during performance of the research activities, as defined in the terms and conditions of the award.  The performance period may extend up to seven years but only through the established deviation request process.",
216,Training Projects,UP5,Early Independence Award Cooperative Agreement,To support the independent research project of a recent doctoral degree recipient. This research grant program will encourage exceptionally creative scientists to bypass the typical post-doc research training period in order to move rapidly to research independence.  It will encourage institutions to develop independent career tracks for recent graduates in order to demonstrate the benefits of early transition to independence both in terms of career productivity for the candidate and research capability for the institution.,
145,Cooperative Agreements,UR6,Prevention Intervention Research on Substance Abuse in Children Cooperative Agreements,"In cooperation with public and private nonprofit and for-profit organizations, to support research to determine the most effective interventions to change the developmental course of early predictor markers for substance abuse in children at several defined developmental stages.",
146,Cooperative Agreements,UR8,Applied Research in Emerging Infections-(including Tick-borne Diseases) Cooperative Agreements,"In cooperation with eligible organizations, to research emerging infections, such as tick borne diseases, through epidemiological studies and development and evaluation of diagnostic tests. Associated grant program under Activity Code RR8.",
147,Cooperative Agreements,US3,Hantaviral Reservoir Studies Cooperative Agreements,"In cooperation with eligible organizations, to study the behavior, movement, reproductive biology, population",
148,Cooperative Agreements,US4,Community-Based Primary Prevention Programs: Intimate Partner Violence Cooperative Agreements,"In cooperation with non-profit community-based organizations, to develop, implement, expand the capacity of, and evaluate the process and outcomes of, programs for preventing intimate partner violence.",
112,Cooperative Agreements ,UT1,Small Business Technology Transfer (STTR) – Cooperative Agreements - Phase I ,"To support cooperative research and development projects between small business concerns and research institutions, limited in time and amount, to establish the technical merit and feasibility of ideas that have potential for commercialization.",
113,Cooperative Agreements ,UT2,Small Business Technology Transfer (STTR) – Cooperative Agreements - Phase II,"To support in-depth development of cooperative research and development projects between small business concerns and research institutions, limited in time and amount, whose feasibility has been established in Phase I and that have potential for commercialization.",
114,V Programs,VF1,Rape Prevention and Education Grants,"Provides financial assistance to States for rape prevention and education programs conducted by rape crisis centers, State sexual assault coalitions, and other public and private nonprofit entities for: educational seminars, operation of hotlines, training for professionals, preparation of informational material; education and training for college and university students and personnel to reduce sexual assault; and awareness programs. The awards are based on a formula.",
186,V Programs,VF1,Rape Prevention and Education Grants,"Provides financial assistance to States for rape prevention and education programs conducted by rape crisis centers, State sexual assault coalitions, and other public and private nonprofit entities for: educational seminars, operation of hotlines, training for professionals, preparation of informational material; education and training for college and university students and personnel to reduce sexual assault; and awareness programs. The awards are based on a formula.",
115,Formula Grants,X01,Resource Access Program,"A Program to invite eligible institutions to seek access to NIH research resources. This includes programs where institutions will request access to submit to the resource, e.g., high throughput screening assays. It also includes programs where access to a specific NIH research resource is needed to conduct certain research.",
116,Formula Grants,X02,Preapplication,"A program to invite eligible institutions to submit a pre-application (also known as a “white paper” or “précis”) to facilitate certain approaches or economies, such as reducing burden on the applicant community, for a funding opportunity",
190,Formula Grants,X98,Protection and Advocacy for Mentally Ill Individuals,"Provides financial assistance to State and local government agencies and public and private organizations, to establish systems to protect and advocate the rights of the mentally ill.  This program is to ensure that the rights of mentally ill individuals are protected and advocated in conformance with constitutional, Federal and State mandates.",
208,Formula Grants,X99,National All Schedules Prescription Electronic Reporting (NASPER),"Provides financial assistance to States and the District of Columbia who by July 10, 2009, have enacted legislation or regulations that permit the implementation of a State controlled substance monitoring program as well as the imposition of appropriate penalties for the unauthorized use and disclosure of information maintained in the program. ",
